geoName,Obama,Biden,Facebook,abortions,fox news,CNN,netflix,Elon Musk,transgenders
Alabama,43,46,79,79,86,40,74,68,90
Alaska,37,53,74,82,76,68,78,72,51
Arizona,43,56,65,80,69,66,81,82,77
Arkansas,34,46,76,78,62,37,74,67,82
California,47,49,51,67,33,57,87,100,58
Colorado,43,51,65,77,62,70,81,91,60
Connecticut,48,59,57,56,49,72,87,73,74
Delaware,47,80,74,79,60,72,84,68,83
District of Columbia,100,100,46,82,38,100,81,82,57
Florida,46,55,58,73,55,62,79,85,66
Georgia,47,46,69,76,58,52,76,73,66
Hawaii,47,42,48,58,37,68,88,90,79
Idaho,34,54,76,91,86,51,80,87,76
Illinois,49,55,69,76,43,58,84,82,64
Indiana,38,51,82,100,67,51,78,79,80
Iowa,39,55,91,78,72,68,75,70,73
Kansas,38,50,74,86,71,59,78,75,67
Kentucky,41,47,87,88,64,45,81,69,81
Louisiana,39,45,73,68,62,35,76,65,79
Maine,42,60,99,80,67,85,88,80,67
Maryland,55,57,64,69,50,73,75,78,73
Massachusetts,50,60,63,60,44,75,91,92,61
Michigan,48,61,83,95,74,61,83,79,77
Minnesota,45,60,75,81,73,80,80,82,54
Mississippi,39,39,82,74,65,31,75,59,84
Missouri,42,53,83,88,78,57,80,80,77
Montana,37,53,87,88,100,68,86,96,74
Nebraska,38,49,77,84,72,55,74,81,66
Nevada,42,49,60,64,58,53,77,94,65
New Hampshire,43,68,90,77,69,84,87,83,66
New Jersey,49,58,59,55,44,62,87,82,62
New Mexico,37,49,92,66,58,68,82,73,64
New York,44,49,54,56,36,58,79,78,56
North Carolina,45,52,76,76,67,60,79,74,72
North Dakota,37,52,85,87,72,52,79,68,69
Ohio,43,55,79,88,72,47,71,74,87
Oklahoma,42,48,75,74,63,39,77,82,86
Oregon,43,57,72,73,58,80,90,93,67
Pennsylvania,45,59,74,80,64,64,79,82,68
Rhode Island,46,59,72,62,49,74,95,75,54
South Carolina,42,47,77,77,81,51,76,67,83
South Dakota,33,51,93,91,91,59,76,64,100
Tennessee,37,50,82,86,72,46,71,72,73
Texas,39,44,60,74,46,45,80,81,58
Utah,34,47,60,75,57,44,80,97,70
Vermont,44,61,88,84,59,98,100,72,55
Virginia,48,57,64,70,60,72,78,78,71
Washington,43,54,72,73,57,72,83,97,61
West Virginia,37,54,98,90,84,48,76,66,77
Wisconsin,40,57,82,81,85,67,78,71,61
Wyoming,30,60,100,89,100,52,79,69,56
